temperature,precipitation_type,precipitation_intensity,wind_speed,visibility,humidity,dew_point,road_type,segment_distance_m,label,dataset_source
16.9,none,0.0,9.9,10.0,70.0,11.4,arterial,1000.0,0,boston_real
11.5,none,0.0,10.1,10.0,37.0,-2.8,arterial,1000.0,0,boston_real
4.2,none,0.0,8.4,10.0,94.0,3.2,arterial,1000.0,0,boston_real
20.5,none,0.0,18.6,10.0,85.0,18.0,arterial,1000.0,1,boston_real
6.8,none,0.0,11.6,10.0,88.0,5.1,arterial,1000.0,0,boston_real
16.4,none,0.0,7.3,10.0,59.0,8.2,arterial,1000.0,1,boston_real
5.2,rain,2.7,25.2,10.0,98.0,4.9,residential,1000.0,0,boston_real
14.06,rain,0.376,23.619,9.444,75.41,9.142,highway,335442.77,1,intercity_synth
12.585,none,0.5,8.402,9.146,62.184,5.022,highway,229004.59,0,intercity_synth
26.8,none,0.0,8.9,10.0,60.0,18.4,arterial,1000.0,1,boston_real
-4.205,none,0.0,0.193,12.65,100.0,-4.205,highway,343586.3,1,intercity_synth
2.8,none,0.0,10.8,10.0,51.0,-6.3,residential,1000.0,0,boston_real
15.4,none,0.0,6.0,10.0,80.0,12.1,arterial,1000.0,1,boston_real
24.0,none,0.0,1.8,10.0,52.0,13.5,arterial,1000.0,0,boston_real
9.271,none,0.346,0.0,11.978,87.517,6.775,highway,221006.83,0,intercity_synth
13.041,none,0.0,32.383,11.416,40.127,1.066,highway,324095.95,0,intercity_synth
-1.1,none,0.0,16.8,10.0,59.0,-8.1,arterial,1000.0,0,boston_real
7.9,none,0.0,14.6,10.0,78.0,4.3,arterial,1000.0,1,boston_real
19.8,none,0.0,14.0,10.0,95.0,18.9,arterial,1000.0,1,boston_real
25.6,none,0.0,16.2,10.0,81.0,22.1,arterial,1000.0,0,boston_real
14.169,none,1.265,8.506,6.543,94.845,13.138,residential,260.15,1,intercity_synth
21.6,none,0.0,17.0,10.0,81.0,18.2,highway,1000.0,0,boston_real
16.265,none,0.325,26.336,8.02,30.269,2.319,residential,25.86,1,intercity_synth
24.2,rain,4.5,5.5,10.0,93.0,23.0,arterial,1000.0,1,boston_real
26.6,none,0.0,4.3,10.0,30.0,7.6,arterial,1000.0,0,boston_real
10.936,none,0.0,20.68,11.404,94.399,9.816,highway,237521.79,0,intercity_synth
11.543,none,1.156,5.031,9.954,66.923,4.928,arterial,29399.0,1,intercity_synth
2.8,none,0.0,33.4,10.0,64.0,-3.3,arterial,1000.0,0,boston_real
-2.1,none,0.0,6.3,10.0,68.0,-7.2,arterial,1000.0,0,boston_real
11.4,none,0.0,10.1,10.0,65.0,5.0,arterial,1000.0,0,boston_real
2.0,none,0.0,9.5,10.0,65.0,-3.8,arterial,1000.0,0,boston_real
12.905,none,1.126,23.903,10.404,69.934,6.892,highway,393654.61,0,intercity_synth
26.4,none,0.0,1.8,10.0,50.0,15.3,arterial,1000.0,0,boston_real
8.0,none,0.0,9.7,10.0,27.0,-9.7,arterial,1000.0,0,boston_real
13.148,snow,1.862,0.0,10.422,48.02,2.752,residential,203335.71,1,intercity_synth
2.599,none,0.77,20.489,10.51,88.189,0.237,arterial,592540.72,0,intercity_synth
10.527,none,0.226,19.524,11.87,97.197,9.967,residential,402979.21,0,intercity_synth
-1.5,none,0.0,15.6,10.0,53.0,-9.9,arterial,1000.0,0,boston_real
28.1,none,0.0,21.9,10.0,43.0,14.3,residential,1000.0,0,boston_real
17.467,none,0.952,0.0,9.781,78.505,13.168,arterial,233379.83,1,intercity_synth
9.825,none,0.0,1.422,11.362,79.144,5.654,highway,230837.35,1,intercity_synth
15.465,none,0.014,4.807,12.055,55.515,6.568,highway,192983.86,0,intercity_synth
26.4,none,0.0,7.2,10.0,64.0,19.0,arterial,1000.0,0,boston_real
-2.6,snow,13.3,16.8,10.0,89.0,-4.1,arterial,1000.0,1,boston_real
25.147,none,0.0,0.0,9.399,97.299,24.607,highway,379693.01,1,intercity_synth
14.769,none,0.0,19.952,10.154,35.553,1.88,residential,431661.37,1,intercity_synth
22.4,none,0.0,19.9,10.0,37.0,7.1,arterial,1000.0,0,boston_real
19.2,none,0.0,4.7,10.0,97.0,18.6,arterial,1000.0,0,boston_real
3.0,none,0.0,11.5,10.0,93.0,2.1,arterial,1000.0,1,boston_real
