segment_id,route_id,origin_city,destination_city,route_index,start_lat,start_lon,end_lat,end_lon,segment_distance_m,road_type,temperature,precipitation_type,precipitation_intensity,wind_speed,visibility,humidity,dew_point,segment_risk_score,segment_risk_binary
8e767aa3-b28d-49bc-8d57-e17fcb04454d,b1b7edaf-b29c-4eb2-be79-78acedae6a01,Portland,Washington,0,45.230626,-122.813384,45.599363,-118.508199,338491.77,highway,8.44,none,0.0,9.144,10.0,59.0,6.95,0.0,0
04cf8f57-bf21-4e37-b937-5896c6b1d874,b1b7edaf-b29c-4eb2-be79-78acedae6a01,Portland,Washington,0,45.599363,-118.508199,42.851199,-114.832006,423213.84,highway,9.54,none,0.0,8.784,10.0,59.0,8.32,0.0,0
5153839e-b754-43fb-99cd-1817e94adedb,b1b7edaf-b29c-4eb2-be79-78acedae6a01,Portland,Washington,0,42.851199,-114.832006,41.422825,-110.128008,419053.55,highway,6.57,none,0.0,3.744,10.0,58.0,6.57,0.0,0
78193055-d1d0-4f3f-b8eb-a3bdcca0905d,b1b7edaf-b29c-4eb2-be79-78acedae6a01,Portland,Washington,0,41.422825,-110.128008,41.093709,-101.825377,694715.58,highway,0.59,none,0.0,13.644,10.0,81.0,-3.41,17.625,0
aa2be10d-bb59-423f-a9c1-9ed0a4be72db,b1b7edaf-b29c-4eb2-be79-78acedae6a01,Portland,Washington,0,41.093709,-101.825377,41.372017,-95.679767,514734.83,arterial,5.09,none,0.0,7.02,10.0,91.0,3.52,0.0,0
3043b032-b306-4b98-af24-88d1ae87e196,b1b7edaf-b29c-4eb2-be79-78acedae6a01,Portland,Washington,0,41.372017,-95.679767,41.415188,-90.118338,463861.5,arterial,9.96,none,0.0,14.832,10.0,66.0,7.9,0.0,0
dbe91d11-2b63-42e7-8280-70ec46b76117,b1b7edaf-b29c-4eb2-be79-78acedae6a01,Portland,Washington,0,41.415188,-90.118338,41.749886,-85.387966,395148.65,arterial,12.95,none,0.0,0.0,10.0,85.0,12.52,0.0,0
678ee517-a771-4dd7-b78b-3e8948b35364,b1b7edaf-b29c-4eb2-be79-78acedae6a01,Portland,Washington,0,41.749886,-85.387966,40.97544,-80.670186,402979.21,residential,12.02,none,0.0,6.732,10.0,84.0,11.47,0.0,0
aa7e4ab3-ec8f-4e65-a134-dc60086bc226,b1b7edaf-b29c-4eb2-be79-78acedae6a01,Portland,Washington,0,40.97544,-80.670186,40.011227,-78.398342,219993.16,residential,15.65,none,0.0,3.744,10.0,87.0,15.54,0.0,0
a5da2a97-b2f2-4ffc-b880-347bfe6c0893,b1b7edaf-b29c-4eb2-be79-78acedae6a01,Portland,Washington,0,40.011227,-78.398342,38.740914,-76.894838,191443.33,residential,12.97,none,0.0,3.888,10.0,88.0,12.62,0.0,0
774bf951-2f46-4e9d-aeba-596752064259,ab5ecd64-2e21-4b8b-b4ae-275a44e0d518,Portland,Washington,1,45.230626,-122.813384,47.051011,-118.429199,393700.56,highway,7.17,none,0.0,13.104,10.0,61.0,4.72,0.0,0
81b139ac-7457-4279-b9ee-53e1691143b8,ab5ecd64-2e21-4b8b-b4ae-275a44e0d518,Portland,Washington,1,47.051011,-118.429199,47.337841,-115.270374,240779.96,highway,7.12,none,0.0,4.716,10.0,73.0,7.12,0.0,0
23306a1a-bb75-4b3f-9a17-d889b7b1d104,ab5ecd64-2e21-4b8b-b4ae-275a44e0d518,Portland,Washington,1,47.337841,-115.270374,45.711561,-109.629737,467760.82,highway,2.1,none,0.0,1.62,10.0,82.0,2.1,0.0,0
8bb669ce-b058-4b68-997d-89ba6758054a,ab5ecd64-2e21-4b8b-b4ae-275a44e0d518,Portland,Washington,1,45.711561,-109.629737,46.862262,-102.054171,595752.93,highway,6.16,none,0.0,11.124,10.0,75.0,3.84,0.0,0
8de2944a-c60c-4079-90db-6aee08746169,ab5ecd64-2e21-4b8b-b4ae-275a44e0d518,Portland,Washington,1,46.862262,-102.054171,45.600906,-94.467815,599885.54,arterial,4.06,none,0.0,0.0,10.0,60.0,4.06,0.0,0
0df08a70-89aa-4bd3-bb1b-a23bef57620b,ab5ecd64-2e21-4b8b-b4ae-275a44e0d518,Portland,Washington,1,45.600906,-94.467815,43.965615,-90.386907,369797.39,arterial,7.77,none,0.0,14.58,10.0,56.0,5.24,0.0,0
bc2ba5e0-3356-42c6-a12a-bc16acc8a71b,ab5ecd64-2e21-4b8b-b4ae-275a44e0d518,Portland,Washington,1,43.965615,-90.386907,41.589178,-87.221489,369500.12,arterial,11.71,none,0.0,9.54,10.0,62.0,10.56,0.0,0
0870dbbe-a653-4c7f-b42d-bd72372153ad,ab5ecd64-2e21-4b8b-b4ae-275a44e0d518,Portland,Washington,1,41.589178,-87.221489,41.272602,-81.626443,467696.22,residential,11.02,none,0.0,0.0,10.0,87.0,10.45,0.0,0
