segment_id,route_id,origin_city,destination_city,route_index,start_lat,start_lon,end_lat,end_lon,segment_distance_m,road_type,temperature,precipitation_type,precipitation_intensity,wind_speed,visibility,humidity,dew_point,segment_risk_score,segment_risk_binary
d592d2f2-8737-463f-8cb3-e941c70c815d,route-9b3d355e-bd7c-4172-9272-a2c6cba515b4,Toronto,Dallas,1,42.197558,-86.099249,40.195877,-89.304987,348497.41,highway,12.369,none,0.000,2.380,10.500,86.411,9.651,0.000,0
a71d1330-c286-4818-b7c3-afdac397e794,route-9b3d355e-bd7c-4172-9272-a2c6cba515b4,Toronto,Dallas,1,43.884201,-79.629252,42.928227,-83.997197,368467.1,highway,6.557,rain,0.162,21.235,7.941,84.235,3.404,0.000,0
b150226f-2305-4460-a465-ec5a74321266,route-9b3d355e-bd7c-4172-9272-a2c6cba515b4,Toronto,Dallas,0,45.749759,-108.566772,47.388852,-115.405756,553429.8,residential,3.344,none,0.000,32.184,10.103,55.664,-5.523,0.000,0
07476a8c-2968-42bc-9e5b-b9689d286e98,route-9b3d355e-bd7c-4172-9272-a2c6cba515b4,Toronto,Dallas,1,39.745447,-105.439621,39.570178,-104.691387,66952.06,arterial,7.473,none,0.000,19.639,9.389,59.210,-0.685,0.000,0
0cb21dfc-549c-41d0-9710-ed14d22b343f,route-9b3d355e-bd7c-4172-9272-a2c6cba515b4,Toronto,Dallas,0,34.779412,-92.221626,35.449999,-94.443675,215422.03,highway,21.523,none,0.000,12.426,11.898,93.700,20.263,0.000,0
a90fb818-996e-4b44-9810-4a517e363cc0,route-9b3d355e-bd7c-4172-9272-a2c6cba515b4,Toronto,Dallas,0,39.586723,-107.19413,39.523073,-106.141983,90480.35,residential,-1.026,rain,0.461,0.000,11.726,48.334,-11.360,20.000,0
9cb78d0b-8784-4917-adbf-a742271650b2,route-9b3d355e-bd7c-4172-9272-a2c6cba515b4,Toronto,Dallas,0,42.059241,-87.670228,41.566778,-90.353414,229004.59,highway,10.399,none,0.794,7.131,11.068,72.657,4.931,0.000,0
b7b56f7e-34df-4cfa-aa71-5bf542eab2c4,route-9b3d355e-bd7c-4172-9272-a2c6cba515b4,Toronto,Dallas,0,37.080217,-80.664053,36.626932,-82.172245,143342.74,highway,12.562,none,0.040,8.906,9.601,100.000,12.562,0.000,0
ecf3ed22-567a-45ec-b55b-37e89038fc3a,route-73398166-11b1-4c9b-95c4-873545053bb4,Chicago,Atlanta,0,38.547702,-112.37916,36.176712,-115.152096,359914.95,residential,15.362,none,0.000,4.660,10.355,38.475,3.057,0.000,0
00c034d3-0c53-4556-86d7-23314755f392,route-73398166-11b1-4c9b-95c4-873545053bb4,Chicago,Atlanta,1,47.184789,-120.996648,47.468879,-115.761231,395778.08,highway,11.514,none,0.000,21.239,7.539,82.820,8.078,0.000,0
3d903196-8a82-4e36-9329-800ee584b802,route-73398166-11b1-4c9b-95c4-873545053bb4,Chicago,Atlanta,1,40.909824,-82.144506,41.105535,-81.040108,95190.34,highway,12.470,none,0.000,5.385,8.519,78.436,8.157,0.000,0
df83ed71-340c-4b64-a364-d8456c48bcb3,route-73398166-11b1-4c9b-95c4-873545053bb4,Chicago,Atlanta,1,37.04214,-88.639692,38.742673,-90.377718,242920.29,highway,15.517,rain,0.588,14.520,11.519,100.000,15.517,0.000,0
d5946c4b-cbc0-48a9-9601-e7731ce0eea3,route-73398166-11b1-4c9b-95c4-873545053bb4,Chicago,Atlanta,0,49.267566,-123.261083,49.267513,-123.261168,8.53,residential,7.991,none,0.981,0.000,10.212,71.943,2.379,0.000,0
2c572f67-4976-4141-a7ec-5c6c55d88582,route-73398166-11b1-4c9b-95c4-873545053bb4,Chicago,Atlanta,0,39.862569,-75.306031,39.86135,-75.306619,144.54,residential,10.886,none,0.000,0.169,9.569,59.987,2.884,0.000,0
