lat,lon,AADT,year,route,ffc
42.350838,-71.208732,123130,2024,90,1
42.356819,-71.182903,125362,2024,90,1
42.357759,-71.176915,126273,2024,90,1
42.357643,-71.173812,126273,2024,90,1
42.357477,-71.170074,126567,2024,90,1
42.358193,-71.14845,126567,2024,90,1
42.356784,-71.127176,131144,2024,90,1
42.357316,-71.122468,131144,2024,90,1
42.35614,-71.11924,131144,2024,90,1
42.352112,-71.114327,132880,2024,90,1
42.350304,-71.110562,129803,2024,90,1
42.350297,-71.11055,128442,2024,90,1
42.349525,-71.108988,128442,2024,90,1
42.348906,-71.106805,127081,2024,90,1
42.348903,-71.106789,120659,2024,90,1
42.347749,-71.100137,120659,2024,90,1
42.347781,-71.090047,120659,2024,90,1
42.347742,-71.089457,120659,2024,90,1
42.347614,-71.088468,120659,2024,90,1
42.347555,-71.087628,120659,2024,90,1
42.347586,-71.08561,113785,2024,90,1
42.347586,-71.085599,111127,2024,90,1
42.347586,-71.085586,111127,2024,90,1
42.347703,-71.078879,111127,2024,90,1
42.34771,-71.078477,108835,2024,90,1
42.347712,-71.078416,108654,2024,90,1
42.34777,-71.076137,104001,,90,1
42.347659,-71.067529,104001,,90,1
42.347009,-71.064213,104001,,90,1
42.346991,-71.064131,38168,,90,1
42.346984,-71.064101,38168,,90,1
42.34682,-71.063387,38168,,90,1
42.346291,-71.0609,38168,,90,1
42.346167,-71.059665,38168,,90,1
42.346164,-71.05953,38168,,90,1
42.346164,-71.059497,38168,,90,1
42.346426,-71.056747,38168,,90,1
42.347432,-71.052483,38168,,90,1
42.348237,-71.047299,38168,,90,1
42.348215,-71.044659,71301,2024,90,1
42.348207,-71.044599,80148,2024,90,1
42.347887,-71.043208,80148,2024,90,1
42.347044,-71.040923,88992,2024,90,1
42.347031,-71.040888,95903,2024,90,1
42.347024,-71.04087,95903,2024,90,1
42.346634,-71.039135,95903,2024,90,1
42.3466,-71.037837,95903,2024,90,1
42.3466,-71.037796,95903,2024,90,1
42.3466,-71.037777,95903,2024,90,1
42.349626,-71.03157,95903,2024,90,1
42.360776,-71.025177,95903,2024,90,1
42.365397,-71.024683,95903,2024,90,1
42.365436,-71.024689,95903,2024,90,1
42.368717,-71.02582,95903,2024,90,1
42.371202,-71.026795,95903,2024,90,1
42.374164,-71.02943,95903,2024,90,1
42.374844,-71.029444,95903,2024,90,1
42.375601,-71.029116,95903,2024,90,1
42.377074,-71.027566,95903,2024,90,1
42.378636,-71.025816,95903,2024,90,1
42.379285,-71.025322,95903,2024,90,1
42.379325,-71.025294,31576,2021,90,1
42.20563,-71.136891,176153,2024,93,1
42.203099,-71.128308,176153,2024,93,1
42.203053,-71.120174,173872,2024,93,1
42.203088,-71.119197,172925,2024,93,1
42.203185,-71.115488,171959,2024,93,1
42.203419,-71.106941,169724,,93,1
42.203278,-71.10232,185641,2010,93,1
42.202923,-71.096003,178028,2024,93,1
42.202639,-71.09103,178028,2024,93,1
42.202558,-71.089444,171697,2021,93,1
42.202491,-71.088249,171697,2021,93,1
42.202404,-71.086787,171697,2021,93,1
42.20235,-71.085482,171697,2021,93,1
42.202501,-71.079724,178616,2024,93,1
42.203715,-71.071991,178616,2024,93,1
42.204258,-71.069272,185553,2013,93,1
42.205048,-71.065266,182960,2024,93,1
42.20511,-71.064934,181017,2024,93,1
42.205592,-71.062511,179111,2024,93,1
42.206025,-71.060321,177404,2020,93,1
42.208369,-71.050547,177404,2020,93,1
42.213299,-71.042538,177404,2020,93,1
42.2214,-71.033915,173317,2024,93,1
42.222831,-71.030792,170730,2024,93,1
42.22336,-71.02887,170730,2024,93,1
42.224027,-71.025605,170730,2024,93,1
42.224268,-71.024432,167649,2024,93,1
42.226135,-71.020909,167649,2024,93,1
42.229279,-71.020469,165513,2024,93,1
42.230679,-71.021311,164856,2024,93,1
42.23235,-71.022388,162965,,93,1
42.234416,-71.02307,162965,,93,1
42.237912,-71.023606,163485,2024,93,1
42.242136,-71.026626,163485,2024,93,1
42.247574,-71.03655,164084,,93,1
42.253587,-71.03854,163249,2024,93,1
42.25565,-71.039764,163011,2024,93,1
42.26744,-71.04738,161467,,93,1
42.275871,-71.049756,164712,2024,93,1
42.27775,-71.04834,165181,2024,93,1
42.27776,-71.048332,165255,2024,93,1
42.277778,-71.048318,167198,2024,93,1
42.280498,-71.046235,167198,2024,93,1
42.283818,-71.043717,167198,2024,93,1
42.285862,-71.042795,167198,2024,93,1
42.290837,-71.043655,195756,2024,93,1
42.293264,-71.044632,207377,,93,1
42.298659,-71.047461,203354,2024,93,1
42.3011,-71.048929,190935,,93,1
42.313217,-71.051935,190935,,93,1
42.327185,-71.058174,212782,2024,93,1
42.332699,-71.063157,212782,2024,93,1
42.333627,-71.063937,183954,2024,93,1
42.336137,-71.065109,166981,,93,1
42.34079,-71.062917,163131,2024,93,1
42.342368,-71.06204,157858,2024,93,1
42.343842,-71.061139,157858,2024,93,1
42.346358,-71.059175,157858,2024,93,1
42.347647,-71.058107,157858,2024,93,1
42.348402,-71.057596,157858,2024,93,1
42.349511,-71.057003,152937,2024,93,1
42.35013,-71.056693,151798,2024,93,1
42.351633,-71.055937,145852,,93,1
42.354866,-71.051537,23974,2019,484,3
42.358759,-71.051659,145852,,93,1
42.359478,-71.051978,170446,2024,93,1
42.361817,-71.054947,187090,,93,1
42.364923,-71.058947,185498,,93,1
42.366375,-71.060409,174966,2024,93,1
42.367222,-71.061359,157869,,93,1
42.369337,-71.06376,157869,,93,1
42.370464,-71.065038,157869,,93,1
42.371497,-71.066456,157869,,93,1
42.371883,-71.067065,155442,2024,93,1
42.373224,-71.069312,152366,2024,93,1
42.375068,-71.072464,146271,,93,1
42.376344,-71.074003,146271,,93,1
42.3789,-71.075994,146271,,93,1
42.380358,-71.076575,155059,2024,93,1
42.382373,-71.076551,160881,2024,93,1
42.383318,-71.07644,166704,2024,93,1
42.384805,-71.076679,172550,,93,1
42.385888,-71.077199,172550,,93,1
42.386177,-71.077403,172550,,93,1
42.386581,-71.077731,172550,,93,1
42.388841,-71.0804,172550,,93,1
42.392834,-71.084724,164682,2024,93,1
42.397115,-71.090253,156877,2024,93,1
42.39955,-71.093338,156877,2024,93,1
42.4022,-71.095834,156877,2024,93,1
42.404927,-71.098279,178884,2024,93,1
42.406159,-71.099395,178884,2024,93,1
42.410864,-71.103202,173790,2024,93,1
42.420451,-71.103762,164148,2016,93,1
42.430315,-71.102908,172234,2014,93,1
42.433224,-71.102269,173698,2024,93,1
42.442968,-71.104879,173698,2024,93,1
42.446944,-71.104933,173698,2024,93,1
42.448525,-71.104504,173698,2024,93,1
42.455351,-71.10248,175267,2024,93,1
42.199469,-71.144971,130694,2024,95,1
42.200359,-71.14432,61997,2024,95,1
42.203797,-71.142124,61997,2024,95,1
42.206917,-71.140369,61997,2024,95,1
42.207809,-71.139882,84708,2024,95,1
42.208673,-71.139178,21300,2021,95,1
42.208988,-71.138131,21300,2021,95,1
42.207303,-71.137169,21300,2021,95,1
42.208139,-71.140514,113471,2024,95,1
42.208568,-71.141417,113471,2024,95,1
42.208871,-71.14218,113471,2024,95,1
42.209143,-71.142708,172695,,95,1
42.210085,-71.144537,172695,,95,1
42.211125,-71.146407,172695,,95,1
42.212606,-71.149041,172695,,95,1
42.213244,-71.150156,172005,2024,95,1
42.213735,-71.150984,172005,2024,95,1
42.217178,-71.15684,171140,2017,95,1
42.219077,-71.160184,171140,2017,95,1
42.220031,-71.162135,170591,2024,95,1
42.221727,-71.166556,169979,2024,95,1
42.223409,-71.171022,169979,2024,95,1
42.226229,-71.178371,169430,,95,1
42.226629,-71.179151,168476,2024,95,1
42.226831,-71.179492,168294,2024,95,1
42.227009,-71.179794,168294,2024,95,1
42.228089,-71.18106,167426,2024,95,1
42.228807,-71.181736,167426,2024,95,1
42.228975,-71.181914,166587,2024,95,1
42.229212,-71.182156,166587,2024,95,1
42.230666,-71.183841,165568,2024,95,1
42.231344,-71.184828,165568,2024,95,1
